"PPTESTCD","PPTEST","NCIt_code","definition"
"AUCALL","AUC All","C85564","The area under the curve (AUC) from the time of dosing to the time of the last observation, regardless of whether the last concentration is measurable or not."
"AUCIFO","AUC Infinity Obs","C85761","The area under the curve (AUC) extrapolated to infinity, calculated using the observed value of the last non-zero concentration."
"AUCIFOD","AUC Infinity Obs Norm by Dose","C96695","The area under the curve (AUC) extrapolated to infinity, calculated using the observed value of the last non-zero concentration, divided by the dose."
"AUCIFP","AUC Infinity Pred","C85785","The area under the curve (AUC) extrapolated to infinity, calculated using the predicted value of the last non-zero concentration."
"AUCIFPD","AUC Infinity Pred Norm by Dose","C85786","The area under the curve (AUC) extrapolated to infinity, calculated using the predicted value of the last non-zero concentration, divided by the dose."
"AUCLST","AUC to Last Nonzero Conc","C85565","The area under the curve (AUC) from the time of dosing to the last measurable concentration."
"AUCLSTD","AUC to Last Nonzero Conc Norm by Dose","C92310","The area under the curve (AUC) from the time of dosing to the last measurable concentration divided by the dose."
"AUCPBEO","AUC %Back Extrapolation Obs","C85763","Applies only for intravascular bolus dosing. The area under the curve (AUC) from the first measured concentration value back extrapolated to the concentration value at time zero as a percentage of the area under the curve extrapolated to infinity using the observed value of the last non-zero concentration."
"AUCPBEP","AUC %Back Extrapolation Pred","C85787","Applies only for intravascular bolus dosing. The area under the curve (AUC) from the first measured concentration value back extrapolated to the concentration value at time zero as a percentage of the area under the curve extrapolated to infinity using the predicted value of the last non-zero concentration."
"AUCPEO","AUC %Extrapolation Obs","C85764","The area under the curve (AUC) from the last observed non-zero concentration value to infinity as a percentage of the area under the curve extrapolated to infinity."
"AUCPEP","AUC %Extrapolation Pred","C85788","The area under the curve (AUC) from the last predicted non-zero concentration value to infinity as a percentage of the area under the curve extrapolated to infinity."
"AUCTAU","AUC Over Dosing Interval","C85567","The area under the curve (AUC) for the defined interval between doses (TAU)."
"AUMCIFO","AUMC Infinity Obs","C85765","The area under the moment curve (AUMC) extrapolated to infinity, calculated using the observed value of the last non-zero concentration."
"AUMCIFOD","AUMC Infinity Obs Norm by Dose","C92331","The area under the moment curve (AUMC) extrapolated to infinity, calculated using the observed value of the last non-zero concentration, divided by the dose."
"AUMCIFP","AUMC Infinity Pred","C85789","The area under the moment curve (AUMC) extrapolated to infinity, calculated using the predicted value of the last non-zero concentration."
"AUMCIFPD","AUMC Infinity Pred Norm by Dose","C92335","The area under the moment curve (AUMC) extrapolated to infinity, calculated using the predicted value of the last non-zero concentration, divided by the dose."
"AUMCLST","AUMC to Last Nonzero Conc","C85569","The area under the moment curve (AUMC) from the time of dosing to the last measurable concentration."
"AUMCLSTD","AUMC to Last Nonzero Conc Norm by Dose","C92327","The area under the moment curve (AUMC) from the time of dosing to the last measurable concentration divided by the dose."
"AUMCPEO","AUMC % Extrapolation Obs","C85766","The area under the moment curve (AUMC) from the last observed non-zero concentration value to infinity as a percentage of the area under the moment curve extrapolated to infinity."
"AUMCPEP","AUMC % Extrapolation Pred","C85790","The area under the moment curve (AUMC) from the last predicted non-zero concentration value to infinity as a percentage of the area under the moment curve extrapolated to infinity."
"C0","Initial Conc","C85644","Initial concentration. Given only for bolus IV models."
"CAVG","Average Concentration","C85575","AUCTAU divided by TAU."
"CLFO","Total CL Obs by F","C85772","The total body clearance for extravascular administration divided by the fraction of dose absorbed, calculated using the AUCINF based on the observed value of the last non-zero concentration."
"CLFP","Total CL Pred by F","C85796","The total body clearance for extravascular administration divided by the fraction of dose absorbed, calculated using the AUCINF based on the predicted value of the last non-zero concentration."
"CLFTAU","Total CL by F for Dose Int","C114121","The total body clearance for extravascular administration divided by the fraction of dose absorbed, calculated using AUCTAU."
"CLO","Total CL Obs","C85773","The total body clearance for intravascular administration, calculated using the AUCINF based on the observed value of the last non-zero concentration."
"CLP","Total CL Pred","C85797","The total body clearance for intravascular administration, calculated using the AUCINF based on the predicted value of the last non-zero concentration."
"CLST","Last Nonzero Conc","C85655","The concentration corresponding to Tlast."
"CLTAU","Total CL for Dose Int","C114122","The total body clearance for intravascular administration, calculated using AUCTAU."
"CMAX","Max Conc","C70918","The maximum concentration occurring at Tmax."
"CMAXD","Max Conc Norm by Dose","C85698","The maximum concentration occurring at Tmax, divided by the dose."
"CMIN","Min Conc","C85579","The minimum concentration between dose time and dose time plus Tau (at Tmin)."
